
linear   Sweep
Start:   
Stop:    
 

X-Achse	A-Daten	B-Daten
  0.20333E+07     1611.69      -67.718    
  0.20667E+07     1655.90      -63.474    
  0.21000E+07     1714.01      -63.519    
  0.21333E+07     1659.22      -64.525    
  0.21667E+07     1564.29      -63.198    
  0.22000E+07     1484.32      -60.086    
  0.22333E+07     1432.88      -55.816    
  0.22667E+07     1409.33      -51.030    
  0.23000E+07     1421.33      -45.478    
  0.23333E+07     1507.91      -41.640    
  0.23667E+07     1512.82      -41.321    
  0.24000E+07     1455.63      -35.357    
  0.24333E+07     1569.58      -26.969    
  0.24667E+07     1814.95      -23.726    
  0.25000E+07     2019.10      -25.028    
  0.25333E+07     2125.74      -26.567    
  0.25667E+07     2203.34      -26.878    
  0.26000E+07     2286.74      -26.675    
  0.26333E+07     2387.03      -26.402    
  0.26667E+07     2437.57      -25.924    
  0.27000E+07     2592.96      -21.928    
  0.27333E+07     3010.34      -21.502    
  0.27667E+07     3386.70      -26.503    
  0.28000E+07     3544.63      -22.479    
  0.28333E+07     3569.99      -26.851    
  0.28667E+07     3576.49      -29.850    
  0.29000E+07     3568.74      -32.227    
  0.29333E+07     3561.25      -33.003    
  0.29667E+07     3736.92      -32.917    
  0.30000E+07     4043.66      -36.814    
  0.30333E+07     4104.12      -43.304    
  0.30667E+07     3952.64      -47.968    
  0.31000E+07     3802.26      -50.104    
  0.31333E+07     3769.70      -51.389    
  0.31667E+07     3788.98      -54.035    
  0.32000E+07     3733.14      -57.520    
  0.32333E+07     3611.43      -60.558    
  0.32667E+07     3459.26      -62.901    
  0.33000E+07     3296.18      -64.265    

